accepted_fraction,avg_latency_sec,avg_reward,avg_tokens_per_sec,backend,dataset,dropped_fraction,dropped_stale_count,effective_updates_per_second,epochs,final_policy_version,generation_chunk_size,hf_model_id,interrupt_check_interval_sec,interrupted_samples_count,learner_delay_sec,lr,max_new_tokens,max_staleness,mean_staleness,mode,num_accepted,num_dropped,num_rollout_workers,num_samples,num_total_seen,num_trainer_workers,pass_rate,pass_rate_per_update,producer_delay_sec,queue_maxsize,queue_trace_interval_sec,return_code,reward_per_second,reward_per_update,reward_timeout_sec,rollout_devices,run_dir,run_name,seed,staleness_k,train_buffer_size,trainer_devices,update_batch_size,update_count,wall_clock_sec
1.0,1.1573235193888346e-05,0.3333333333333333,1583307.8580068983,tiny_policy,data/tiny_coding_train.jsonl,0.0,0,6.749647374992121,2,6,,sshleifer/tiny-gpt2,,,,0.1,64,,,sync_train,,,,24,,,0.20833333333333334,0.8333333333333334,,,,0,8.999529833322828,1.3333333333333333,2.0,,results/experiments/20260330_171455/001__mode-sync_train__k-na__seed-0__ub-4__q-na__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,001__mode-sync_train__k-na__seed-0__ub-4__q-na__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,0,,,,4,6,0.8889353275299072
1.0,1.1106332143147787e-05,0.4166666666666667,1569279.6522745814,tiny_policy,data/tiny_coding_train.jsonl,0.0,0,6.884195564387074,2,6,,sshleifer/tiny-gpt2,,,,0.1,64,,,sync_train,,,,24,,,0.3333333333333333,1.3333333333333333,,,,0,11.473659273978456,1.6666666666666667,2.0,,results/experiments/20260330_171455/002__mode-sync_train__k-na__seed-1__ub-4__q-na__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,002__mode-sync_train__k-na__seed-1__ub-4__q-na__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,1,,,,4,6,0.8715615272521973
1.0,1.1215607325236002e-05,0.3888888888888889,1308172.334744885,tiny_policy,data/tiny_coding_train.jsonl,0.0,0,6.8457885973271155,2,6,,sshleifer/tiny-gpt2,,,,0.1,64,,,sync_train,,,,24,,,0.3333333333333333,1.3333333333333333,,,,0,10.64900448473107,1.5555555555555556,2.0,,results/experiments/20260330_171455/003__mode-sync_train__k-na__seed-2__ub-4__q-na__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,003__mode-sync_train__k-na__seed-2__ub-4__q-na__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,2,,,,4,6,0.8764512538909912
0.20833333333333334,0.0661208152770996,0.3333333333333333,1902513.306381086,tiny_policy,data/tiny_coding_train.jsonl,0.7916666666666666,19,9.936154058449443,2,2,,sshleifer/tiny-gpt2,,,0.0,0.1,64,0,0.0,async_train,5,19,,,24,,0.2,0.5,0.0,64,0.1,0,8.280128382041202,0.8333333333333333,2.0,,results/experiments/20260330_171455/004__mode-async_train__k-0__seed-0__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,004__mode-async_train__k-0__seed-0__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,0,0,5,,4,2,0.20128512382507324
0.20833333333333334,0.07467885017395019,0.4666666666666667,2013123.5793665159,tiny_policy,data/tiny_coding_train.jsonl,0.7916666666666666,19,6.632736841439424,2,2,,sshleifer/tiny-gpt2,,,0.0,0.1,64,0,0.0,async_train,5,19,,,24,,0.4,1.0,0.0,64,0.1,0,7.738192981679329,1.1666666666666667,2.0,,results/experiments/20260330_171455/005__mode-async_train__k-0__seed-1__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,005__mode-async_train__k-0__seed-1__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,1,0,5,,4,2,0.30153465270996094
0.20833333333333334,0.06600847244262695,0.6,2161080.032329825,tiny_policy,data/tiny_coding_train.jsonl,0.7916666666666666,19,9.932283501858912,2,2,,sshleifer/tiny-gpt2,,,0.0,0.1,64,0,0.0,async_train,5,19,,,24,,0.4,1.0,0.0,64,0.1,0,14.898425252788368,1.5,2.0,,results/experiments/20260330_171455/006__mode-async_train__k-0__seed-2__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,006__mode-async_train__k-0__seed-2__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,2,0,5,,4,2,0.20136356353759766
0.375,0.14639430575900608,0.2962962962962963,3047096.30617419,tiny_policy,data/tiny_coding_train.jsonl,0.625,15,7.470840185955933,2,3,,sshleifer/tiny-gpt2,,,0.0,0.1,64,1,0.4444444444444444,async_train,9,15,,,24,,0.2222222222222222,0.6666666666666666,0.0,64,0.1,0,6.640746831960829,0.8888888888888888,2.0,,results/experiments/20260330_171455/007__mode-async_train__k-1__seed-0__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,007__mode-async_train__k-1__seed-0__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,0,1,9,,4,3,0.40156126022338867
0.375,0.14999259842766655,0.3703703703703704,3214884.0362822153,tiny_policy,data/tiny_coding_train.jsonl,0.625,15,7.4720690644201015,2,3,,sshleifer/tiny-gpt2,,,0.0,0.1,64,1,0.4444444444444444,async_train,9,15,,,24,,0.3333333333333333,1.0,0.0,64,0.1,0,8.30229896046678,1.1111111111111112,2.0,,results/experiments/20260330_171455/008__mode-async_train__k-1__seed-1__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,008__mode-async_train__k-1__seed-1__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,1,1,9,,4,3,0.40149521827697754
0.375,0.1727823151482476,0.4444444444444444,3501444.6157747307,tiny_policy,data/tiny_coding_train.jsonl,0.625,15,7.470374471243042,2,3,,sshleifer/tiny-gpt2,,,0.0,0.1,64,1,0.4444444444444444,async_train,9,15,,,24,,0.3333333333333333,1.0,0.0,64,0.1,0,9.960499294990724,1.3333333333333333,2.0,,results/experiments/20260330_171455/009__mode-async_train__k-1__seed-2__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,009__mode-async_train__k-1__seed-2__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,2,1,9,,4,3,0.40158629417419434
0.5416666666666666,0.23812695649953988,0.3333333333333333,4408628.325274725,tiny_policy,data/tiny_coding_train.jsonl,0.4583333333333333,11,7.974394049867721,2,4,,sshleifer/tiny-gpt2,,,0.0,0.1,64,2,0.9230769230769231,async_train,13,11,,,24,,0.23076923076923078,0.75,0.0,64,0.1,0,8.638926887356698,1.0833333333333333,2.0,,results/experiments/20260330_171455/010__mode-async_train__k-2__seed-0__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,010__mode-async_train__k-2__seed-0__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,0,2,13,,4,4,0.5016055107116699
0.5416666666666666,0.21704682937035194,0.41025641025641024,4242092.402355154,tiny_policy,data/tiny_coding_train.jsonl,0.4583333333333333,11,6.6441946319622165,2,4,,sshleifer/tiny-gpt2,,,0.0,0.1,64,2,0.9230769230769231,async_train,13,11,,,24,,0.3076923076923077,1.0,0.0,64,0.1,0,8.858926175949621,1.3333333333333333,2.0,,results/experiments/20260330_171455/011__mode-async_train__k-2__seed-1__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,011__mode-async_train__k-2__seed-1__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,1,2,13,,4,4,0.6020293235778809
0.5416666666666666,0.22761016625624436,0.38461538461538464,3834481.3511927593,tiny_policy,data/tiny_coding_train.jsonl,0.4583333333333333,11,7.974450905022219,2,4,,sshleifer/tiny-gpt2,,,0.0,0.1,64,2,0.9230769230769231,async_train,13,11,,,24,,0.3076923076923077,1.0,0.0,64,0.1,0,9.968063631277774,1.25,2.0,,results/experiments/20260330_171455/012__mode-async_train__k-2__seed-2__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,012__mode-async_train__k-2__seed-2__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,2,2,13,,4,4,0.5016019344329834
0.875,0.38039608228774296,0.3333333333333333,5470113.408736588,tiny_policy,data/tiny_coding_train.jsonl,0.125,3,7.477144130492913,2,6,,sshleifer/tiny-gpt2,,,0.0,0.1,64,4,1.9047619047619047,async_train,21,3,,,24,,0.23809523809523808,0.8333333333333334,0.0,64,0.1,0,8.7233348189084,1.1666666666666667,2.0,,results/experiments/20260330_171455/013__mode-async_train__k-4__seed-0__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,013__mode-async_train__k-4__seed-0__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,0,4,21,,4,6,0.8024454116821289
0.875,0.3440763723282587,0.4444444444444445,5087611.010514244,tiny_policy,data/tiny_coding_train.jsonl,0.125,3,7.477224107932343,2,6,,sshleifer/tiny-gpt2,,,0.0,0.1,64,4,1.9047619047619047,async_train,21,3,,,24,,0.38095238095238093,1.3333333333333333,0.0,64,0.1,0,11.631237501228089,1.5555555555555556,2.0,,results/experiments/20260330_171455/014__mode-async_train__k-4__seed-1__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,014__mode-async_train__k-4__seed-1__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,1,4,21,,4,6,0.8024368286132812
0.875,0.3608989602043515,0.3492063492063492,4648065.599165518,tiny_policy,data/tiny_coding_train.jsonl,0.125,3,7.481554328605625,2,6,,sshleifer/tiny-gpt2,,,0.0,0.1,64,4,1.9047619047619047,async_train,21,3,,,24,,0.2857142857142857,1.0,0.0,64,0.1,0,9.144121957184653,1.222222222222222,2.0,,results/experiments/20260330_171455/015__mode-async_train__k-4__seed-2__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,015__mode-async_train__k-4__seed-2__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-na__nt-na__pdelay-0.0__ldelay-0.0,2,4,21,,4,6,0.8019723892211914
0.8333333333333334,,0.35,918348.3777403564,tiny_policy,data/tiny_coding_train.jsonl,0.16666666666666666,,3.4899973972530702,2,5,4,sshleifer/tiny-gpt2,0.02,4,0.0,0.1,64,0,0.0,async_areal_style,20,4,1,,24,1,0.2,0.8,0.0,64,0.1,0,4.8859963561542985,1.4,2.0,cuda:0,results/experiments/20260330_171455/016__mode-async_areal_style__k-0__seed-0__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,016__mode-async_areal_style__k-0__seed-0__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,0,0,,cuda:1,4,5,1.4326658248901367
0.8333333333333334,,0.35,879438.3283854537,tiny_policy,data/tiny_coding_train.jsonl,0.16666666666666666,,3.4994053778141097,2,5,4,sshleifer/tiny-gpt2,0.02,4,0.0,0.1,64,0,0.0,async_areal_style,20,4,1,,24,1,0.2,0.8,0.0,64,0.1,0,4.899167528939754,1.4,2.0,cuda:0,results/experiments/20260330_171455/017__mode-async_areal_style__k-0__seed-1__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,017__mode-async_areal_style__k-0__seed-1__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,1,0,,cuda:1,4,5,1.428814172744751
0.8333333333333334,,0.35,884588.9713497233,tiny_policy,data/tiny_coding_train.jsonl,0.16666666666666666,,3.4719588043950456,2,5,4,sshleifer/tiny-gpt2,0.02,4,0.0,0.1,64,0,0.0,async_areal_style,20,4,1,,24,1,0.2,0.8,0.0,64,0.1,0,4.860742326153064,1.4,2.0,cuda:0,results/experiments/20260330_171455/018__mode-async_areal_style__k-0__seed-2__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,018__mode-async_areal_style__k-0__seed-2__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,2,0,,cuda:1,4,5,1.4401092529296875
0.8333333333333334,,0.35,957239.5149658077,tiny_policy,data/tiny_coding_train.jsonl,0.16666666666666666,,3.4346545777335216,2,5,4,sshleifer/tiny-gpt2,0.02,4,0.0,0.1,64,0,0.0,async_areal_style,20,4,1,,24,1,0.2,0.8,0.0,64,0.1,0,4.8085164088269305,1.4,2.0,cuda:0,results/experiments/20260330_171455/019__mode-async_areal_style__k-1__seed-0__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,019__mode-async_areal_style__k-1__seed-0__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,0,1,,cuda:1,4,5,1.4557504653930664
0.8333333333333334,,0.35,909045.659894461,tiny_policy,data/tiny_coding_train.jsonl,0.16666666666666666,,3.4027368872292714,2,5,4,sshleifer/tiny-gpt2,0.02,4,0.0,0.1,64,0,0.0,async_areal_style,20,4,1,,24,1,0.2,0.8,0.0,64,0.1,0,4.76383164212098,1.4,2.0,cuda:0,results/experiments/20260330_171455/020__mode-async_areal_style__k-1__seed-1__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,020__mode-async_areal_style__k-1__seed-1__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,1,1,,cuda:1,4,5,1.4694054126739502
0.8333333333333334,,0.35,894689.9890021989,tiny_policy,data/tiny_coding_train.jsonl,0.16666666666666666,,3.4074734107977718,2,5,4,sshleifer/tiny-gpt2,0.02,4,0.0,0.1,64,0,0.0,async_areal_style,20,4,1,,24,1,0.2,0.8,0.0,64,0.1,0,4.770462775116881,1.4,2.0,cuda:0,results/experiments/20260330_171455/021__mode-async_areal_style__k-1__seed-2__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,021__mode-async_areal_style__k-1__seed-2__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,2,1,,cuda:1,4,5,1.467362880706787
0.8333333333333334,,0.35,813077.0886198106,tiny_policy,data/tiny_coding_train.jsonl,0.16666666666666666,,3.543171779001175,2,5,4,sshleifer/tiny-gpt2,0.02,4,0.0,0.1,64,0,0.0,async_areal_style,20,4,1,,24,1,0.2,0.8,0.0,64,0.1,0,4.960440490601645,1.4,2.0,cuda:0,results/experiments/20260330_171455/022__mode-async_areal_style__k-2__seed-0__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,022__mode-async_areal_style__k-2__seed-0__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,0,2,,cuda:1,4,5,1.4111649990081787
0.8333333333333334,,0.35,786635.4753872266,tiny_policy,data/tiny_coding_train.jsonl,0.16666666666666666,,3.50115336027095,2,5,4,sshleifer/tiny-gpt2,0.02,4,0.0,0.1,64,0,0.0,async_areal_style,20,4,1,,24,1,0.2,0.8,0.0,64,0.1,0,4.90161470437933,1.4,2.0,cuda:0,results/experiments/20260330_171455/023__mode-async_areal_style__k-2__seed-1__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,023__mode-async_areal_style__k-2__seed-1__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,1,2,,cuda:1,4,5,1.428100824356079
0.8333333333333334,,0.35,891539.248041486,tiny_policy,data/tiny_coding_train.jsonl,0.16666666666666666,,3.311777022544508,2,5,4,sshleifer/tiny-gpt2,0.02,4,0.0,0.1,64,0,0.0,async_areal_style,20,4,1,,24,1,0.2,0.8,0.0,64,0.1,0,4.636487831562311,1.4,2.0,cuda:0,results/experiments/20260330_171455/024__mode-async_areal_style__k-2__seed-2__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,024__mode-async_areal_style__k-2__seed-2__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,2,2,,cuda:1,4,5,1.509763479232788
0.8333333333333334,,0.35,807630.6594780885,tiny_policy,data/tiny_coding_train.jsonl,0.16666666666666666,,3.4128534008238427,2,5,4,sshleifer/tiny-gpt2,0.02,4,0.0,0.1,64,0,0.0,async_areal_style,20,4,1,,24,1,0.2,0.8,0.0,64,0.1,0,4.777994761153379,1.4,2.0,cuda:0,results/experiments/20260330_171455/025__mode-async_areal_style__k-4__seed-0__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,025__mode-async_areal_style__k-4__seed-0__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,0,4,,cuda:1,4,5,1.4650497436523438
0.8333333333333334,,0.35,802472.1554317994,tiny_policy,data/tiny_coding_train.jsonl,0.16666666666666666,,3.499463771494403,2,5,4,sshleifer/tiny-gpt2,0.02,4,0.0,0.1,64,0,0.0,async_areal_style,20,4,1,,24,1,0.2,0.8,0.0,64,0.1,0,4.899249280092164,1.4,2.0,cuda:0,results/experiments/20260330_171455/026__mode-async_areal_style__k-4__seed-1__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,026__mode-async_areal_style__k-4__seed-1__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,1,4,,cuda:1,4,5,1.4287903308868408
0.8333333333333334,,0.31666666666666665,843277.1689280018,tiny_policy,data/tiny_coding_train.jsonl,0.16666666666666666,,3.344443459240297,2,5,4,sshleifer/tiny-gpt2,0.02,4,0.0,0.1,64,1,0.1,async_areal_style,20,4,1,,24,1,0.2,0.8,0.0,64,0.1,0,4.236295048371042,1.2666666666666666,2.0,cuda:0,results/experiments/20260330_171455/027__mode-async_areal_style__k-4__seed-2__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,027__mode-async_areal_style__k-4__seed-2__ub-4__q-64__ep-2__b-tiny_policy__lr-0.1__nr-1__nt-1__pdelay-0.0__ldelay-0.0,2,4,,cuda:1,4,5,1.4950170516967773
